text,intent
какой прогноз на понедельник,weather
меня зовут анна,set_name
самара погода,weather
завтра занятия будут,schedule
увидимся,farewell
что посмотреть,unknown
я алексей,set_name
какая сегодня температура,weather_city_only
Температура воды в море,weather
покажи статистику?,stats
куртку брать,yes_no
погода в москве сегодня,weather
найду ли я работу,yes_no
расскажи о себе,help
как выучить английский,unknown
активность,stats
одеваться тепло,yes_no
нужна помощь,help
какая температура воздуха,weather
брать зонт или нет,yes_no
Морозно ли сегодня утром,weather
hello there,greeting
пасмурно или ясно,weather
найду ли я любовь,yes_no
здравствуй,greeting
Давай прощай,farewell
примут ли меня на работу,yes_no
Удачи тебе во всем,farewell
пойдет ли снег,yes_no
На улице холодно одеваться тепло,weather
где находится эрмитаж,unknown
мои действия,stats
как с тобой общаться,help
здрасьте,greeting
Приветствую начальник,greeting
Привет как самочувствие,greeting
Здравствуйте меня зовут Алексей,greeting
как тебя использовать,help
моя статистика?,stats
зовите меня екатерина,set_name
как появилась вселенная,unknown
что такое счастье,unknown
Будет ли гроза,weather
Спокойной ночи,farewell
как ты можешь помочь,help
будут ли пары завтра?,schedule
сколько градусов в киеве,weather
меня иван зовут,set_name
до скорого,farewell
как похудеть быстро,unknown
До встречи,farewell
жара какая,weather
стоит ли рисковать,yes_no
завтра учиться?,schedule
температура на сегодня,weather_city_only
сочи температура,weather
мои показатели,stats
холодно или жарко,weather_city_only
Здарова как жизнь,greeting
прогноз на сегодня,weather_city_only
погода на следующей неделе,weather
Тепло ли на юге,weather
какая температура в киеве,weather
температура на улице,weather_city_only
какая погода в алматы,weather
осадки в москве,weather
погода в санкт-петербурге сегодня,weather
Солнечно или пасмурно,weather
сколько раз я писал,stats
будут ли уроки завтра,schedule
Счастливого пути,farewell
Покеда,farewell
Здарова заходи в гости,greeting
бывайте,farewell
здравствуйте,greeting
хеллоу,greeting
погода на выходные,weather
Привет я вернулся,greeting
почему я грущу,unknown
идти на учебу,schedule
почему мы мечтаем,unknown
статистика по мне,stats
справка,help
прогноз погоды на сегодня,weather_city_only
называйте меня таней,set_name
получится ли у меня,yes_no
дождь будет идти,weather
подскажи,help
Будь здоров,farewell
учиться ли дальше,yes_no
завтра учиться!,schedule
прохладно сегодня,weather_city_only
Приветик ты тут,greeting
ждут ли меня перемены,yes_no
идти ли завтра на учебу,schedule
Ну давай не болей,farewell
мое почтение,greeting
О привет а я тебя ищу,greeting
будет ли встреча,yes_no
Пока до свидания,farewell
какая сегодня погода,weather_city_only
что с осадками,weather_city_only
мои запросы,stats
завтра в школу,schedule
меня зовут алексей,set_name
помощь,help
температура во вторник,weather
порывы ветра будут,weather
давай,farewell
я анна,set_name
можно просто миша,set_name
до свидания,farewell
сколько сегодня градусов,weather_city_only
гололед на дорогах,weather
эй здравствуй,greeting
шапку надевать,yes_no
давление атмосферное,weather
пары завтра будут,schedule
покажи мои данные,stats
есть ли занятия завтра,schedule
туман утром будет,weather
как сделать сайт,unknown
что будет завтра,unknown
Всего хорошего,farewell
доброго здоровья,greeting
меня зовут сергей,set_name
завтра есть пары,schedule
приветствую,greeting
что с погодой,weather_city_only
Стоит ли ждать ураган,weather
До связи,farewell
какая погода в минске,weather
Здравствуйте рад вас видеть,greeting
тепло на улице,weather_city_only
погода в минске сегодня,weather
До скорого,farewell
пары завтра или нет,schedule
Скажи прогноз погоды на завтра,weather
смысл жизни,unknown
Добрый день вы мне звонили,greeting
покажи команды,help
я мария,set_name
киев погода сегодня,weather
статистика использования,stats
пермь температура,weather
как работает интернет,unknown
Надо брать зонт,weather
погода на сегодня,weather_city_only
туман видно,weather_city_only
Ладно я пошел пока,farewell
как программировать,unknown
статистика,stats
зовут меня ольга,set_name
Здрасте я по делу,greeting
пока пока бот,farewell
Сколько градусов сейчас,weather
что делать,help
good afternoon,greeting
лучший фильм,unknown
мои данные,stats
что такое трансформеры,unknown
сколько раз я обращался,stats
что такое машинное обучение,unknown
мороз сильный,weather
давление как,weather_city_only
ну здарова,greeting
здрасте,greeting
Чао,farewell
бывай,farewell
Всего доброго,farewell
молния будет,weather
помоги,help
статистика пользователя,stats
мои данные покажи,stats
лучший фильм 2024,unknown
завтра идти на пары,schedule
как работает мозг,unknown
ливень будет,weather
влажность воздуха,weather
Разрешите откланяться,farewell
град ожидается,weather
температура воздуха,weather_city_only
Доброе утро кофе будешь,greeting
холодно или тепло,weather_city_only
приветствую вас,greeting
привет,greeting
что ты умеешь,help
будет ли завтра дождь,yes_no
будет ли хороший день,yes_no
что такое искусственный интеллект,unknown
владивосток погодные условия,weather
моя история,stats
менять ли работу,yes_no
погода москва,weather
Какая влажность воздуха,weather
что по погоде,weather_city_only
Прогноз на выходные,weather
ладно пока,farewell
как выучить python,unknown
покажи погоду,weather_city_only
что завтра по осадкам,weather
казань температура,weather
Салам алейкум мир вашему дому,greeting
Пока удачной охоты,farewell
Какая погода в Европе сейчас,weather
меня зовут мария,set_name
завтра в университет,schedule
Погода на сегодня подробно,weather
