покажи мою активность,stats
доброе утро,greeting
расскажи что ты умеешь,help
сочи температура,weather
погода в минске сегодня,weather
какая погода будет,weather_city_only
погода в новосибирске,weather
нужно ли идти на пары завтра,schedule
бывай,farewell
стоит ли менять работу,yes_no
токио погода,weather
как работает интернет,unknown
как пользоваться,help
есть ли пары завтра?,schedule
инструкция,help
мы встретимся завтра,yes_no
сколько я написал,stats
что по погоде,weather_city_only
до завтра бот,farewell
погода в минске,weather
расскажи о себе,help
прощайте,farewell
какая погода,weather_city_only
статистика по мне,stats
какая сегодня погода,weather_city_only
как появилась вселенная,unknown
ну все пока,farewell
сколько градусов в алматы,weather
всего хорошего,farewell
меня зовут екатерина,set_name
будет ли хороший день,yes_no
погода на завтра,weather_city_only
что делать,help
помощь бот,help
какая погода в минске,weather
покажи статистику!,stats
получится ли у меня,yes_no
hi there,greeting
до завтра,farewell
моя активность,stats
как стать программистом,unknown
кто такой пушкин,unknown
покажи что ты умеешь,help
завтра учиться,schedule
я дмитрий,set_name
что я спрашивал ранее,stats
меня зовут сергей,set_name
наталья я,set_name
погода в париже,weather
что с погодой в питере,weather
здравствуй,greeting
как заработать деньги,unknown
сколько градусов в минске,weather
какая температура,weather_city_only
меня зовут алексей,set_name
минск температура,weather
всего доброго бот,farewell
hello there,greeting
что такое искусственный интеллект,unknown
будут ли пары завтра?,schedule
я сергей,set_name
буду ли я богат,yes_no
давай до встречи,farewell
прогноз погоды на сегодня,weather_city_only
пары завтра или нет,schedule
амстердам температура,weather
в чем твоя помощь,help
расскажи шутку,unknown
меня иван зовут,set_name
hello,greeting
здравствуйте я к вам,greeting
какая температура сейчас,weather_city_only
киев погода сегодня,weather
как с тобой общаться,help
всего доброго,farewell
покажи команды,help
пекин температура,weather
стоит ли рисковать,yes_no
покажи статистику,stats
почему я грущу,unknown
завтра в университет,schedule
твои возможности,help
я наталья,set_name
хорошего дня,farewell
статистика?,stats
что такое блокчейн,unknown
привет как дела,greeting
я иван,set_name
пермь температура,weather
зовите меня екатерина,set_name
я екатерина,set_name
статистика пользователя,stats
подскажите,help
будут ли пары завтра,schedule
найду ли я работу,yes_no
мои запросы,stats
поездка удастся,yes_no
покажи мою статистику,stats
удачи бот,farewell
что умеешь делать,help
статистика использования,stats
до связи,farewell
уфа температура,weather
переезжать ли,yes_no
ладно пока,farewell
приветствую вас,greeting
купить ли машину,yes_no
до встречи,farewell
меня зовут дмитрий,set_name
завтра идти на пары,schedule
погода,weather_city_only
давай пока,farewell

