text,intent
какой прогноз на понедельник,weather
меня зовут анна,set_name
самара погода,weather
завтра занятия будут,schedule
увидимся,farewell
что посмотреть,unknown
я алексей,set_name
какая сегодня температура,weather_city_only
Температура воды в море,weather
покажи статистику?,stats
куртку брать,yes_no
погода в москве сегодня,weather
найду ли я работу,yes_no
расскажи о себе,help
как выучить английский,unknown
активность,stats
одеваться тепло,yes_no
нужна помощь,help
какая температура воздуха,weather
брать зонт или нет,yes_no
Морозно ли сегодня утром,weather
hello there,greeting
пасмурно или ясно,weather
найду ли я любовь,yes_no
здравствуй,greeting
Давай прощай,farewell
примут ли меня на работу,yes_no
Удачи тебе во всем,farewell
пойдет ли снег,yes_no
На улице холодно одеваться тепло,weather
где находится эрмитаж,unknown
мои действия,stats
как с тобой общаться,help
здрасьте,greeting
Приветствую начальник,greeting
Привет как самочувствие,greeting
Здравствуйте меня зовут Алексей,greeting
как тебя использовать,help
моя статистика?,stats
зовите меня екатерина,set_name
как появилась вселенная,unknown
что такое счастье,unknown
Будет ли гроза,weather
Спокойной ночи,farewell
как ты можешь помочь,help
будут ли пары завтра?,schedule
сколько градусов в киеве,weather
меня иван зовут,set_name
до скорого,farewell
как похудеть быстро,unknown
До встречи,farewell
жара какая,weather
стоит ли рисковать,yes_no
завтра учиться?,schedule
температура на сегодня,weather_city_only
сочи температура,weather
мои показатели,stats
холодно или жарко,weather_city_only
Здарова как жизнь,greeting
прогноз на сегодня,weather_city_only
погода на следующей неделе,weather
Тепло ли на юге,weather
какая температура в киеве,weather
температура на улице,weather_city_only
какая погода в алматы,weather
осадки в москве,weather
погода в санкт-петербурге сегодня,weather
Солнечно или пасмурно,weather
сколько раз я писал,stats
будут ли уроки завтра,schedule
Счастливого пути,farewell
Покеда,farewell
Здарова заходи в гости,greeting
бывайте,farewell
здравствуйте,greeting
хеллоу,greeting
погода на выходные,weather
Привет я вернулся,greeting
почему я грущу,unknown
идти на учебу,schedule
почему мы мечтаем,unknown
статистика по мне,stats
справка,help
прогноз погоды на сегодня,weather_city_only
называйте меня таней,set_name
получится ли у меня,yes_no
дождь будет идти,weather
подскажи,help
Будь здоров,farewell
учиться ли дальше,yes_no
завтра учиться!,schedule
прохладно сегодня,weather_city_only
Приветик ты тут,greeting
ждут ли меня перемены,yes_no
идти ли завтра на учебу,schedule
Ну давай не болей,farewell
мое почтение,greeting
О привет а я тебя ищу,greeting
будет ли встреча,yes_no
Пока до свидания,farewell
какая сегодня погода,weather_city_only
что с осадками,weather_city_only
мои запросы,stats
завтра в школу,schedule
меня зовут алексей,set_name
помощь,help
температура во вторник,weather
порывы ветра будут,weather
давай,farewell
я анна,set_name
можно просто миша,set_name
до свидания,farewell
сколько сегодня градусов,weather_city_only
гололед на дорогах,weather
эй здравствуй,greeting
шапку надевать,yes_no
давление атмосферное,weather
пары завтра будут,schedule
покажи мои данные,stats
есть ли занятия завтра,schedule
туман утром будет,weather
как сделать сайт,unknown
что будет завтра,unknown
Всего хорошего,farewell
доброго здоровья,greeting
меня зовут сергей,set_name
завтра есть пары,schedule
приветствую,greeting
что с погодой,weather_city_only
Стоит ли ждать ураган,weather
До связи,farewell
какая погода в минске,weather
Здравствуйте рад вас видеть,greeting
тепло на улице,weather_city_only
погода в минске сегодня,weather
До скорого,farewell
пары завтра или нет,schedule
Скажи прогноз погоды на завтра,weather
смысл жизни,unknown
Добрый день вы мне звонили,greeting
покажи команды,help
я мария,set_name
киев погода сегодня,weather
статистика использования,stats
пермь температура,weather
как работает интернет,unknown
Надо брать зонт,weather
погода на сегодня,weather_city_only
туман видно,weather_city_only
Ладно я пошел пока,farewell
как программировать,unknown
статистика,stats
зовут меня ольга,set_name
Здрасте я по делу,greeting
пока пока бот,farewell
Сколько градусов сейчас,weather
что делать,help
good afternoon,greeting
лучший фильм,unknown
мои данные,stats
что такое трансформеры,unknown
сколько раз я обращался,stats
что такое машинное обучение,unknown
мороз сильный,weather
давление как,weather_city_only
ну здарова,greeting
здрасте,greeting
Чао,farewell
бывай,farewell
Всего доброго,farewell
молния будет,weather
помоги,help
статистика пользователя,stats
мои данные покажи,stats
лучший фильм 2024,unknown
завтра идти на пары,schedule
как работает мозг,unknown
ливень будет,weather
влажность воздуха,weather
Разрешите откланяться,farewell
град ожидается,weather
температура воздуха,weather_city_only
Доброе утро кофе будешь,greeting
холодно или тепло,weather_city_only
приветствую вас,greeting
привет,greeting
что ты умеешь,help
будет ли завтра дождь,yes_no
будет ли хороший день,yes_no
что такое искусственный интеллект,unknown
владивосток погодные условия,weather
моя история,stats
менять ли работу,yes_no
погода москва,weather
Какая влажность воздуха,weather
что по погоде,weather_city_only
Прогноз на выходные,weather
ладно пока,farewell
как выучить python,unknown
покажи погоду,weather_city_only
что завтра по осадкам,weather
казань температура,weather
Салам алейкум мир вашему дому,greeting
Пока удачной охоты,farewell
Какая погода в Европе сейчас,weather
меня зовут мария,set_name
завтра в университет,schedule
Погода на сегодня подробно,weather
какое сегодня число,date
сегодняшняя дата,date
какое сегодня число и месяц,date
какой сегодня день,date
какое сегодня число года,date
сегодня число,date
какая дата,date
сегодня какое число,date
день недели какой,date
какой день недели сегодня,date
сегодня какой день недели,date
завтра какое число,date
послезавтра число,date
вчерашняя дата,date
какое число будет завтра,date
какой день недели будет завтра,date
послезавтра какой день,date
сегодня среда или четверг,date
какой месяц,date
сейчас месяц какой,date
какой год,date
текущий год,date
високосный год,date
какой день года,date
сколько дней в месяце,date
дата сегодняшняя,date
праздники сегодня,date
какой сегодня праздник,date
завтра праздник,date
новый год когда,date
рождество какого числа,date
день рождения у меня,date
какая дата через неделю,date
число и месяц,date
день и месяц,date
сегодня первое число,date
сегодня пятнадцатое,date
сегодня тридцатое,date
завтра первое,date
послезавтра второе,date
вчера было десятое,date
дата вчерашняя,date
дата завтрашняя,date
квартал какой,date
полугодие,date
начало месяца,date
конец месяца,date
середина месяца,date
выходные когда,date
будний день,date
рабочий день,date
какая дата была вчера,date
какое число было позавчера,date
через два дня какое число,date
через три дня какой день недели,date
день недели уточнить,date
числовой день,date
номер дня в году,date
календарь сегодня,date
сегодня не праздник,date
который час,time
сколько времени,time
какое сейчас время,time
который час сейчас,time
сколько сейчас времени,time
во сколько,time
скажи время,time
текущее время,time
время московское,time
сколько часов,time
который час в москве,time
во сколько сейчас,time
время точное,time
точное время,time
время сейчас,time
сколько минут,time
час дня,time
полдень уже,time
полночь,time
утро или день,time
сейчас утро,time
вечер уже,time
ночь на дворе,time
час ночи,time
два часа дня,time
три часа,time
четыре утра,time
пять вечера,time
шесть утра,time
семь часов,time
восемь вечера,time
девять утра,time
десять часов,time
одиннадцать ночи,time
двенадцать дня,time
без пятнадцати час,time
без двадцати два,time
без десяти три,time
половина пятого,time
четверть шестого,time
без пяти семь,time
без двадцати восемь,time
полдесятого,time
без четверти девять,time
двадцать минут одиннадцатого,time
сорок минут двенадцатого,time
сколько сейчас часов и минут,time
во сколько будет через час,time
время местное,time
время в моем городе,time
сколько времени в новосибирске,time
разница во времени,time
часовой пояс,time
время обеденное,time
после обеда сколько времени,time
вечернее время,time
утреннее время,time
ночное время,time
сколько секунд,time
таймер сколько,time
как дела,smalltalk
что нового,smalltalk
как жизнь,smalltalk
нормально,smalltalk
всё супер,smalltalk
неплохо,smalltalk
как сам,smalltalk
чё как,smalltalk
как настроение,smalltalk
что делаешь,smalltalk
чем занимаешься,smalltalk
как твои дела,smalltalk
как ты,smalltalk
ты здесь,smalltalk
отлично,smalltalk
хорошо,smalltalk
прекрасно,smalltalk
зашибись,smalltalk
ого,smalltalk
круто,smalltalk
здорово,smalltalk
класс,smalltalk
супер,smalltalk
вау,smalltalk
окей,smalltalk
ладно,smalltalk
понятно,smalltalk
ага,smalltalk
да ну,smalltalk
не может быть,smalltalk
интересно,smalltalk
спасибо,smalltalk
благодарю,smalltalk
ок,smalltalk
ясно,smalltalk
без проблем,smalltalk
конечно,smalltalk
точно,smalltalk
возможно,smalltalk
наверное,smalltalk
ладушки,smalltalk
договорились,smalltalk
отлично,smalltalk
прикольно,smalltalk
ничего себе,smalltalk
обалдеть,smalltalk
ого как,smalltalk
збс,smalltalk
окей,smalltalk
понял,smalltalk
принято,smalltalk
так держать,smalltalk
молодец,smalltalk
ты лучший,smalltalk
спс,smalltalk
окей,smalltalk
добро,smalltalk
хорош,smalltalk
отлично,smalltalk
а там как,follow_up
и что дальше,follow_up
ну и что,follow_up
а в питере,follow_up
а в москве,follow_up
то же самое,follow_up
так же,follow_up
продолжай,follow_up
уточни пожалуйста,follow_up
а ещё,follow_up
короче да,follow_up
ну да,follow_up
а если завтра,follow_up
и как там,follow_up
а там что,follow_up
согласен,follow_up
не понял,follow_up
ещё раз,follow_up
а по поводу погоды,follow_up
а время,follow_up
и дата,follow_up
ну как,follow_up
а ты,follow_up
